證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
6224,聚鼎,"414,408",326,"22,068,020",54.80,54.90,52.20,53.90,30.80
6225,天瀚,"9,002",9,"130,680",14.60,15.00,14.20,14.50,48.33
6226,光鼎,"418,226",129,"3,532,135",8.48,8.53,8.33,8.40,0.00
6230,尼得科超眾,"136,622","1,136","22,753,680",169.50,169.50,163.50,168.00,146.09
6235,華孚,"1,269,831","1,225","72,587,091",59.10,59.10,56.50,57.00,15.62
6239,力成,"3,656,562","2,718","427,934,421",120.00,120.00,115.00,115.00,9.31
6243,迅杰,"241,955",801,"10,757,310",45.95,45.95,43.85,43.85,121.81
6257,矽格,"3,292,048","2,415","223,928,486",69.20,69.50,67.20,67.90,14.60
6269,台郡,"1,390,696","1,200","83,780,881",61.30,61.30,59.80,60.10,49.26
6271,同欣電,"2,336,678","2,106","278,227,514",122.50,122.50,117.50,118.50,13.61
6277,宏正,"136,182",182,"10,073,353",75.10,75.10,73.40,74.00,19.07
6278,台表科,"1,967,254","1,666","205,112,344",108.00,108.00,103.00,103.00,10.46
6281,全國電,"100,322",186,"8,001,906",80.40,80.40,79.60,79.70,17.33
6282,康舒,"2,771,726","2,178","80,250,720",29.35,29.45,28.50,29.35,0.00
6283,淳安,"402,044",276,"10,196,834",26.05,26.05,25.00,25.30,0.00
6285,啟��,"3,544,130","5,402","440,114,098",128.00,128.50,122.50,123.00,18.06
6288,聯嘉,"1,606,051",753,"38,716,267",24.85,24.85,23.70,24.15,71.03
6405,悅城,"756,141",486,"22,078,916",29.15,29.55,28.95,29.05,0.00
6409,旭隼,"395,726","1,534","731,854,070","1,905.00","1,930.00","1,790.00","1,790.00",37.81
6412,群電,"1,116,943","1,724","142,411,925",130.50,131.00,124.50,128.50,14.87
6414,樺漢,"870,786","1,374","245,021,284",288.00,288.00,278.00,280.00,17.06
6415,矽力*-KY,"3,881,240","4,149","1,465,807,748",398.00,403.00,368.00,371.00,93.69
6416,瑞祺電通,"502,130",474,"55,668,263",114.00,114.00,109.00,110.50,26.95
6423,億而得-創,"55,920",71,"5,540,562",102.00,102.00,97.00,97.10,98.08
6426,統新,"3,005,946","3,126","243,463,817",86.80,87.00,78.20,78.20,0.00
6431,光麗-KY,"98,018",58,"1,432,813",14.75,14.90,14.45,14.45,0.00
6438,迅得,"3,424,465","4,836","672,470,786",200.00,202.00,190.00,196.00,38.66
6442,光聖,"976,766","1,327","545,618,675",590.00,590.00,546.00,546.00,63.34
6443,元晶,"5,545,629","2,442","88,836,841",16.50,16.50,15.70,16.00,50.00
6446,藥華藥,"3,891,453","8,159","2,766,371,237",730.00,732.00,696.00,706.00,126.98
6449,鈺邦,"1,029,839","1,282","136,056,285",141.00,141.00,128.00,130.00,26.92
6451,訊芯-KY,"12,749,962","18,329","3,011,047,294",257.00,257.00,228.00,228.00,135.71
6456,GIS-KY,"2,108,618","1,537","106,195,542",51.70,51.70,49.85,50.80,0.00
6464,台數科,"111,561",80,"8,723,647",78.30,78.50,77.90,78.40,14.18
6472,保瑞,"2,326,327","5,336","1,862,131,133",796.00,814.00,788.00,799.00,21.07
6477,安集,"1,458,121","1,090","54,072,426",38.30,38.30,36.10,37.30,0.00
6491,晶碩,"272,575",747,"97,192,956",364.00,364.00,353.00,356.00,13.91
6504,南六,"82,656",105,"5,395,708",66.10,67.20,64.40,64.40,306.67
6505,台塑化,"17,531,110","9,198","599,663,946",33.65,35.40,33.35,35.15,54.92
6515,穎崴,"1,295,261","2,209","1,492,281,915","1,255.00","1,255.00","1,110.00","1,130.00",44.65
6525,捷敏-KY,"757,449",866,"52,947,860",71.00,71.30,68.90,70.20,15.60
6526,達發,"1,078,310","3,832","691,075,786",671.00,671.00,628.00,631.00,47.73
6531,愛普*,"2,418,196","3,629","676,246,273",293.50,293.50,272.50,276.00,30.98
6533,晶心科,"1,034,590","1,962","379,684,629",381.00,381.00,360.50,360.50,0.00
6534,正瀚-創,"398,026",57,"32,986,058",83.00,83.70,81.60,83.00,22.37
6541,泰福-KY,"221,237",405,"13,961,666",65.10,65.10,62.40,63.00,0.00
6550,北極星藥業-KY,"1,522,872","1,051","68,255,234",47.00,47.10,43.60,44.10,0.00
6552,易華電,"355,014",364,"12,977,241",39.90,39.90,35.60,35.75,0.00
6558,興能高,"112,528,107","60,046","5,436,845,789",48.25,50.00,46.50,48.65,0.00
6573,虹揚-KY,"65,063",75,"908,351",14.55,14.55,13.60,13.90,0.00
6579,研揚,"417,319",543,"48,096,899",121.50,121.50,113.00,114.00,26.33
6581,鋼聯,"141,078",209,"14,861,395",107.50,108.00,104.00,105.50,15.42
6582,申豐,"274,283",297,"15,305,997",58.10,58.10,54.50,54.80,498.18
6585,鼎基,"482,272",458,"70,928,401",151.00,151.00,145.00,146.50,14.74
6591,動力-KY,"287,386",300,"14,340,125",51.20,51.20,49.10,50.00,16.50
6592,和潤企業,"512,268",628,"39,501,618",78.10,78.30,76.40,77.70,16.09
6592A,和潤企業甲特,"10,310",6,"987,774",95.80,95.90,95.80,95.90,0.00
6592B,和潤企業乙特,"9,336",15,"907,130",97.10,97.30,97.10,97.30,0.00
6598,ABC-KY,"681,037",364,"14,162,915",20.95,21.85,19.95,21.80,0.00
6605,帝寶,"747,324",896,"157,601,580",210.00,216.00,207.50,210.00,11.71
6606,建德工業,"96,332",92,"2,571,637",26.90,26.90,26.55,26.60,28.00
6625,必應,"559,035",861,"44,489,485",81.60,82.30,78.00,78.90,14.17
6641,基士德-KY,"48,888",60,"1,399,507",30.00,30.00,28.00,28.20,12.59
6645,金萬林-創,"45,385",40,"1,077,400",23.90,23.90,23.60,23.80,0.00
6655,科定,"18,058",24,"2,240,224",124.00,124.50,123.50,123.50,26.28
6657,華安,"946,509",935,"47,208,908",52.30,52.50,48.50,48.75,0.00
6658,聯策,"815,618",696,"54,028,540",70.60,70.60,65.20,65.30,310.95
6666,羅麗芬-KY,"54,236",61,"2,400,469",45.50,45.50,43.00,43.40,22.14
6668,中揚光,"974,119",937,"49,305,418",52.40,52.40,50.00,50.00,0.00
6669,緯穎,"2,862,290","6,828","7,016,131,585","2,540.00","2,555.00","2,410.00","2,425.00",23.42
6670,復盛應用,"1,158,396","3,504","380,276,685",336.50,336.50,323.50,330.00,13.89
6671,三能-KY,"23,000",11,"955,450",41.60,41.70,41.50,41.70,14.14
6672,騰輝電子-KY,"4,082,972","4,133","323,431,694",80.00,82.00,76.60,79.70,15.60
6674,鋐寶科技,"72,266",74,"1,594,294",22.10,23.05,21.60,22.10,0.00
6689,伊雲谷,"1,657,643","1,394","181,097,074",114.00,114.00,107.50,108.00,39.71
6691,洋基工程,"1,003,519","1,599","479,863,060",477.50,487.00,471.50,472.00,28.43
6695,芯鼎,"1,987,204","1,648","114,266,186",58.00,59.00,56.40,56.60,0.00
6698,旭暉應材,"333,353",586,"11,484,603",35.90,35.90,34.00,34.30,0.00
6706,惠特,"7,244,484","4,794","764,323,469",110.50,110.50,100.00,106.50,0.00
6715,嘉基,"242,410",311,"34,766,661",148.00,148.00,141.50,143.00,26.43
6719,力智,"1,391,988","5,972","323,810,570",239.50,239.50,228.50,229.50,98.50
6742,澤米,"3,647,498","2,703","241,120,703",67.20,67.70,64.10,67.30,0.00
6743,安普新,"347,387",242,"13,947,265",40.75,40.80,39.75,40.35,17.47
6753,龍德造船,"1,363,444","1,506","141,016,436",104.00,105.50,101.50,102.00,14.35
6754,匯僑設計,"124,296",234,"7,955,888",63.60,65.40,63.00,64.60,10.34
6756,威鋒電子,"283,628",466,"31,692,561",118.50,118.50,110.00,110.50,54.43
6757,台灣虎航,"10,919,685","8,845","963,782,646",88.60,89.90,86.70,88.50,13.43
6768,志強-KY,"983,296",888,"121,005,846",122.50,126.50,120.50,123.00,18.55
6770,力積電,"25,797,589","7,853","353,925,706",14.10,14.15,13.50,13.65,0.00
6771,平和環保-創,"45,010",30,"2,392,639",54.10,54.10,52.60,53.20,12.88
6776,展碁,"204,949",166,"11,650,635",57.50,57.80,55.10,56.70,12.38
6781,AES-KY,"3,537,919","3,830","3,879,377,440","1,130.00","1,130.00","1,055.00","1,130.00",50.51
6782,視陽,"398,747",553,"64,509,658",167.50,167.50,160.00,161.50,16.45
6789,采鈺,"2,577,655","4,749","794,032,139",317.50,319.50,301.00,304.50,79.50
6790,永豐實,"386,520",313,"15,656,465",40.90,40.90,40.30,40.75,11.99
6792,詠業,"134,875",233,"7,782,054",60.20,60.20,56.60,57.60,30.16
6794,向榮生技-創,"9,000",7,"621,100",71.00,71.00,67.70,69.00,0.00
6796,晉弘,"186,799",247,"17,532,508",95.20,97.00,91.60,92.80,0.00
6799,來頡,"323,191",854,"27,329,285",88.40,88.40,83.20,84.00,23.66
6805,富世達,"3,195,779","7,155","2,148,425,269",706.00,713.00,657.00,659.00,45.64
6806,森崴能源,"1,943,385","1,701","208,869,573",107.00,110.00,105.50,107.50,30.28
6807,峰源-KY,"451,573",417,"35,637,763",82.00,82.00,77.60,78.50,10.62
6830,汎銓,"3,402,385","2,957","543,672,146",161.50,165.00,153.50,160.50,71.02
