,成交股數
871,244101.0
872,15321271.0
873,6840746.0
874,183320.0
875,107564.0
876,433593.0
877,776236.0
878,32027235.0
879,23812586.0
880,7264837.0
881,2655771.0
882,8373660.0
883,4139243.0
884,4510036.0
885,2408556.0
886,593740.0
887,529013.0
888,6754704.0
889,4754433.0
890,160553.0
891,82802.0
892,979771.0
893,2429638.0
894,7775062.0
895,4013115.0
896,282452.0
897,85347.0
898,106884.0
899,54615.0
900,192260.0
901,38015.0
902,324952.0
903,143832.0
904,443253.0
905,43777.0
906,314011.0
907,100550.0
908,10051.0
909,18001.0
910,206318.0
911,90395.0
912,533982.0
913,375840.0
914,433925.0
915,313465.0
916,387958.0
917,201312.0
918,412975.0
919,98285.0
920,385522.0
921,122509.0
922,168680.0
923,76838.0
924,200956.0
925,27643.0
926,18910469.0
927,10419036.0
928,2854929.0
929,889389.0
930,5939873.0
931,3138366.0
932,225242.0
933,130254.0
934,1151485.0
935,343193.0
936,641223.0
937,91818.0
938,14236859.0
939,9172002.0
940,1182083.0
941,744232.0
942,1801952.0
943,674551.0
944,9338710.0
945,3726462.0
946,264607.0
947,15170.0
948,404202.0
949,108368.0
950,1820419.0
951,463993.0
952,424143.0
953,189606.0
954,4686974.0
955,3563401.0
956,16510733.0
957,3614304.0
958,17531871.0
959,14622891.0
960,22000484.0
961,14924875.0
962,37271562.0
963,22131570.0
964,68478083.0
965,41728253.0
966,24709382.0
967,21482900.0
968,22367344.0
969,15898262.0
970,21316855.0
971,11470604.0
972,38104550.0
973,23712988.0
974,78555.0
975,70008.0
976,65180521.0
977,23552431.0
978,8174994.0
979,2788701.0
980,25703253.0
981,14003033.0
982,44038068.0
