證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
1512,瑞利,"20,026",28,"140,383",7.11,7.11,6.91,7.11,0.00
1513,中興電,"1,984,622","2,022","303,684,151",153.00,155.50,151.50,152.50,21.15
1514,亞力,"2,143,021","3,435","199,223,317",91.80,94.60,91.20,93.50,28.68
1515,力山,"119,360",106,"3,491,358",29.15,29.65,29.00,29.25,10.37
1516,川飛,"58,811",107,"963,065",15.75,16.60,15.75,16.60,72.17
1517,利奇,"158,812",207,"2,027,778",12.70,12.80,12.70,12.80,0.00
1519,華城,"3,054,497","3,893","1,490,275,015",490.00,495.50,482.50,488.00,36.53
1521,大億,"92,100",54,"2,397,732",25.75,26.50,25.75,26.10,153.53
1522,堤維西,"3,686,055","2,543","229,990,425",60.90,63.20,60.80,63.20,11.64
1522A,堤維西甲特,"2,000",2,"96,950",48.45,48.50,48.45,48.50,0.00
1524,耿鼎,"9,380,615","5,177","364,384,744",37.75,39.50,37.70,39.00,13.49
1525,江申,"29,283",111,"1,669,072",58.20,58.20,56.30,57.60,15.61
1526,日馳,"18,433",67,"417,902",22.65,22.80,22.50,22.80,0.00
1527,鑽全,"638,288",474,"26,801,295",40.90,42.60,40.90,42.50,13.36
1528,恩德,"1,488,751",705,"20,195,166",13.55,13.75,13.40,13.60,0.00
1529,樂事綠能,"203,383",200,"4,594,225",22.70,22.80,22.20,22.80,53.02
1530,亞崴,"14,270",52,"428,882",30.00,30.15,30.00,30.10,21.50
1531,高林股,"119,528",203,"1,582,690",13.25,13.30,13.15,13.25,132.50
1532,勤美,"782,692",455,"23,295,030",29.70,29.95,29.45,29.75,7.08
1533,車王電,"427,937",371,"17,381,850",39.45,41.60,39.40,40.05,0.00
1535,中宇,"73,449",128,"4,241,201",58.30,58.30,57.30,58.00,13.49
1536,和大,"1,862,040","1,539","111,839,306",60.10,60.70,59.30,60.70,0.00
1537,廣隆,"150,732",257,"22,750,013",150.50,152.00,150.00,151.00,13.87
1538,正峰,"8,321",62,"234,450",28.30,28.40,27.60,28.40,0.00
1539,巨庭,"225,519",169,"4,906,057",21.25,22.10,21.20,21.95,19.95
